planid,planname,planname (groups)
1636,Mccxen Silver,SILVER CUSTOMIZED
1637,PRGOLD23,GOLD CUSTOMISED
1638,ACE SILVER23,SILVER CUSTOMIZED
1639,ACE GOL23,GOLD CUSTOMISED
1640,HARVARD,Other
1641,CBRONZE23,BRONZE CUSTOMIZED
1642,V-BRONZE23,Other
1643,V-SILVER23,Other
1644,V-GOLD23,Other
1645,L-SILVER,Other
1646,L-GOLD,Other
1647,L-GOLDPLUS,Other
1648,L-PLATINIUM,Other
2,Silver,SILVER CUSTOMIZED
3,Gold,GOLD CUSTOMISED
4,Gold Plus,GOLD PLUS CUSTOMISED
5,Platinum,PLATINUM CUSTOMIZED
7,Ultimate,Other
